Symbol,Name,Market Cap,Country,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,44043500000,United States,2436691,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,7558755689,,7332502,Industrials,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,1258750000,,948478,Finance,Business Services
AACG,ATA Creativity Global American Depositary Shares,48320457,China,8358,Consumer Discretionary,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,208337570,United States,1334,Industrials,Consumer Electronics/Appliances
AADI,Aadi Bioscience Inc. Common Stock,302499451,United States,213121,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),83398033,United States,45613,Real Estate,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,,United States,158,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,,United States,120,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,0,United States,9905,Finance,Finance/Investors Services
AAL,American Airlines Group Inc. Common Stock,8325230362,United States,26353218,Consumer Discretionary,Air Freight/Delivery Services
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,,United States,24441,,
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,,United States,35374,,
AAMC,Altisource Asset Management Corp Com,33855755,United States,1041,Finance,Investment Managers
AAME,Atlantic American Corporation Common Stock,52751123,United States,9672,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,366287688,,1165635,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,61325996,United States,157419,Technology,Semiconductors
AAON,AAON Inc. Common Stock,4061252655,United States,843938,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,8305000835,United States,1603728,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,2.33E+12,United States,160073130,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,1620942920,United States,1396844,Real Estate,Real Estate Investment Trusts
AATC,Autoscope Technologies Corporation Common Stock,27200766,United States,6480,Industrials,Industrial Machinery/Components
AAU,Almaden Minerals Ltd. Common Shares,32933138,Canada,159275,,
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,2837838010,United States,1651678,Consumer Discretionary,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,3783111338,United States,608659,Finance,Investment Managers
ABB,ABB Ltd Common Stock,56681250000,Switzerland,1549096,Energy,Electrical Products
ABBV,AbbVie Inc. Common Stock,2.84E+11,United States,18904121,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,33704662340,United States,2909917,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,3195726751,United States,894035,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,2921085360,Canada,3224723,Health Care,Pharmaceuticals and Biotechnology
ABCM,Abcam plc American Depositary Shares,3560592716,United Kingdom,997818,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,45687625,United States,292644,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),43446766560,,23367503,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,3698433825,United States,405861,Consumer Discretionary,Other Specialty Stores
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,194487386,United States,3569,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,35016647,United States,56718,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,2903391091,United States,1222254,Consumer Discretionary,Diversified Commercial Services
ABMD,ABIOMED Inc. Common Stock,17179741104,United States,1538419,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,53419459057,United States,6825232,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,234092624,United States,154003,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,2315568492,United States,2449837,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,United States,20143,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,,United States,3700,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,,United States,21378,,
ABSI,Absci Corporation Common Stock,230987273,United States,820284,Health Care,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation Common Stock,520897366,Canada,79234,,
ABT,Abbott Laboratories Common Stock,1.86E+11,United States,7976088,Health Care,Medical/Dental Instruments
ABUS,Arbutus Biopharma Corporation Common Stock,424025800,Canada,3072752,Health Care,Pharmaceuticals and Biotechnology
ABVC,ABVC BioPharma Inc. Common Stock,22842630,United States,20495,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,893509423,United States,5879,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,2636770013,,1559388,Industrials,Engineering & Construction
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,380250000,United States,25824,Industrials,Consumer Electronics/Appliances
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,109106250,United States,21429,Industrials,Consumer Electronics/Appliances
ACACU,Acri Capital Acquisition Corporation Unit,0,United States,77,Industrials,Consumer Electronics/Appliances
ACACW,Acri Capital Acquisition Corporation Warrant,0,United States,1,Industrials,Consumer Electronics/Appliances
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,2492117998,United States,1819848,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,429525000,United States,8608,Industrials,Consumer Electronics/Appliances
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,0,United States,1500,Industrials,Consumer Electronics/Appliances
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,339723800,,4380,Industrials,Consumer Electronics/Appliances
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,112324900,United States,10,Industrials,Consumer Electronics/Appliances
ACAXW,Alset Capital Acquisition Corp. Warrant,0,United States,35777,Industrials,Consumer Electronics/Appliances
ACB,Aurora Cannabis Inc. Common Shares,337305886,Canada,11355219,Health Care,Pharmaceuticals and Biotechnology
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,64596180,Hong Kong,1553,Consumer Discretionary,Catalog/Specialty Distribution
ACCD,Accolade Inc. Common Stock,608603179,United States,727091,Technology,Interactive Media
ACCO,Acco Brands Corporation Common Stock,514664656,United States,989827,Consumer Discretionary,Advertising
ACDC,ProFrac Holding Corp. Class A Common Stock,1170908000,United States,1207843,Industrials,Metal Fabrications
ACDCW,ProFrac Holding Corp. Warrant,0,United States,273659,Industrials,Metal Fabrications
ACDI,Ascendant Digital Acquisition Corp. III Class A Ordinary Shares,385875000,,2,Finance,Business Services
ACEL,Accel Entertainment Inc. ,670872488,United States,512064,Consumer Discretionary,Recreational Games/Products/Toys
ACER,Acer Therapeutics Inc. Common Stock (DE),64974547,United States,445823,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,184144383,United States,1464303,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,22573350838,Bermuda,6450927,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,0,Bermuda,46937,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,0,Bermuda,28725,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,7705727591,United States,1544182,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,34793855,United Kingdom,1288682,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,515784965,United States,3400240,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,44742573,United States,28892,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,11054470006,United States,3489593,Consumer Staples,Food Chains
ACIU,AC Immune SA Common Stock,161822186,Switzerland,611360,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,2299174761,United States,2415162,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,2674863289,United States,775553,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,1396746492,United States,1147617,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,11476083676,United States,1836131,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,532169927,United States,767758,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),1.74E+11,Ireland,6532424,Technology,EDP Services
ACNB,ACNB Corporation Common Stock,334800631,United States,78894,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,102838992,United States,7288,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,4770342,United States,42764,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,0,United States,1,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,14115932,United States,83150,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdn Income Credit Strategies Fund Common Shares,170864876,United States,141356,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,,United States,6679,,
ACQR,Independence Holdings Corp. Class A Ordinary Share,624225554,United States,687846,Finance,Business Services
ACQRU,Independence Holdings Corp. Units,0,United States,200,Finance,Business Services
ACQRW,Independence Holdings Corp. Warrant,0,United States,100001,Finance,Business Services
ACR,ACRES Commercial Realty Corp. Common Stock,79790582,United States,14142,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,,United States,4536,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,,United States,2136,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,602680124,United States,747666,Real Estate,Real Estate Investment Trusts
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,426506250,,134,Industrials,Consumer Electronics/Appliances
ACRS,Aclaris Therapeutics Inc. Common Stock,1039590948,United States,665219,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ACRV,Acrivon Therapeutics Inc. Common Stock,254905278,United States,18090,Health Care, Medicinal Chemicals and Botanical Products 
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,17803985,United States,105069,Health Care, Medicinal Chemicals and Botanical Products 
ACST,Acasti Pharma Inc. Class A Common Stock,16908263,Canada,173515,Health Care,Pharmaceuticals and Biotechnology
ACT,Enact Holdings Inc. Common Stock,3867512083,United States,227157,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,156309591,United States,273888,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,83560994,United States,3549,Consumer Discretionary,Home Furnishings
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,208088116,United States,34449,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,1384378931,United States,1908002,Industrials,Metal Fabrications
ACXP,Acurx Pharmaceuticals Inc. Common Stock,44399692,United States,24083,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,63397849,China,326567,Health Care,Biotechnology: Pharmaceutical Preparations
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,308516250,United States,101684,Finance,Business Services
ADALU,Anthemis Digital Acquisitions I Corp Unit,0,United States,100,Finance,Business Services
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,212977723,United Kingdom,1082193,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,1.57E+11,United States,11937452,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,6258585704,United States,5033679,Real Estate,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,,United States,13508,,
ADCT,ADC Therapeutics SA Common Shares,252347160,,260731,Health Care,Biotechnology: Pharmaceutical Preparations
ADD,Color Star Technology Co. Ltd. Ordinary Shares,4531779,United States,107998,,
ADEA,Adeia Inc. Common Stock,1016971885,United States,3409194,Technology,EDP Services
ADER,26 Capital Acquisition Corp. Class A Common Stock,346156250,United States,909,Industrials,Consumer Electronics/Appliances
ADERW,26 Capital Acquisition Corp. Warrant,0,United States,69953,Industrials,Consumer Electronics/Appliances
ADES,Advanced Emissions Solutions Inc. Common Stock,43763984,United States,57412,Industrials,Industrial Specialties
ADEX,Adit EdTech Acquisition Corp. Common Stock,342585000,,201,Industrials,Consumer Electronics/Appliances
ADI,Analog Devices Inc. Common Stock,84960748878,United States,7411853,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,6716176,United States,130275,Health Care,Biotechnology: Pharmaceutical Preparations
ADILW,Adial Pharmaceuticals Inc Warrant,0,United States,12000,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,50709042494,United States,8366198,,
ADMA,ADMA Biologics Inc Common Stock,797460483,United States,4699069,Health Care,Biotechnology: Pharmaceutical Preparations
ADMP,Adamis Pharmaceuticals Corporation Common Stock,22497490,United States,978565,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,44146529,United States,906678,Utilities,Power Generation
ADNT,Adient plc Ordinary Shares ,3289680850,,1825991,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,0,United States,53523,Utilities,Power Generation
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,50624950,United States,4913,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADOCW,Edoc Acquisition Corp. Warrant,0,United States,1001,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADP,Automatic Data Processing Inc. Common Stock,1.02E+11,United States,4051678,Consumer Discretionary,Business Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,1145527378,United States,1464327,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRA,Adara Acquisition Corp. Class A Common Stock,145762500,United States,409720,Industrials,Consumer Electronics/Appliances
ADRT,Ault Disruptive Technologies Corporation Common Stock,146050000,,4,Industrials,Consumer Electronics/Appliances
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,158625669,Ireland,38696,Consumer Discretionary,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,0,Ireland,8901,Consumer Discretionary,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,41513665846,United States,2292765,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,8339956157,United States,7677179,Consumer Discretionary,Diversified Commercial Services
ADTH,AdTheorent Holding Company Inc. Common Stock,145995926,United States,208132,Consumer Discretionary,Advertising
ADTN,ADTRAN Holdings Inc. Common Stock,1470803485,United States,2578179,Telecommunications,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,6532973,United States,50388,Health Care, Medicinal Chemicals and Botanical Products 
ADUS,Addus HomeCare Corporation Common Stock,1651956725,United States,533956,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,604203633,United States,871666,Consumer Discretionary,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,61722294,United States,2053253,Health Care,Biotechnology: Pharmaceutical Preparations
ADX,Adams Diversified Equity Fund Inc.,1729889468,United States,239776,Finance,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,11823202,Switzerland,50830,Health Care,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,101039045,United States,60507,Energy,Oilfield Services/Equipment
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,302400000,United States,2800,Finance,Business Services
AEACU,Authentic Equity Acquisition Corp. Unit,0,United States,51340,Finance,Business Services
AEACW,Authentic Equity Acquisition Corp. Warrant,0,United States,1,Finance,Business Services
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,292675000,United States,701,Industrials,Consumer Electronics/Appliances
AEAEW,AltEnergy Acquisition Corp. Warrant,0,United States,10691,Industrials,Consumer Electronics/Appliances
AEE,Ameren Corporation Common Stock,22680149886,United States,2888170,Utilities,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,261879174,United States,25360,Finance,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,0,,102186,,
AEG,AEGON N.V. Common Stock,9450784538,Netherlands,1662719,Finance,Life Insurance
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,136614250,United States,1,Industrials,Consumer Electronics/Appliances
AEHAW,Aesther Healthcare Acquisition Corp Warrants,0,United States,71,Industrials,Consumer Electronics/Appliances
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),3491139,China,36230,Consumer Discretionary,Building Products
AEHR,Aehr Test Systems Common Stock,643941238,United States,955881,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),25602639,United States,547609,Real Estate,Building operators
AEIS,Advanced Energy Industries Inc. Common Stock,3321115937,United States,458507,Consumer Discretionary,Electrical Products
AEL,American Equity Investment Life Holding Company Common Stock,3353529434,United States,2587032,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,,United States,18544,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,,United States,14146,,
AEM,Agnico Eagle Mines Limited Common Stock,23280214755,Canada,4440168,,
AEMD,Aethlon Medical Inc. Common Stock,6080751,United States,354339,Miscellaneous,Diversified Commercial Services
AENZ,Aenza S.A.A. American Depositary Shares,221042305,,14331,Industrials,Engineering & Construction
AEO,American Eagle Outfitters Inc. Common Stock,2732382921,United States,11848942,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc. Common Stock,48596088028,United States,6083174,Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,0,United States,155037,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,14076603436,Netherlands,1073997,Consumer Discretionary,Diversified Commercial Services
AERC,AeroClean Technologies Inc. Common Stock,49125274,United States,68699,Utilities,Environmental Services
AES,The AES Corporation Common Stock,18929696709,United States,6868382,Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,0,United States,120838,Utilities,Electric Utilities: Central
AEVA,Aeva Technologies Inc. Common Stock,322981479,,2532268,Consumer Discretionary,Auto Parts:O.E.M.
AEY,ADDvantage Technologies Group Inc. Common Stock,19627499,United States,64933,Consumer Discretionary,Durable Goods
AEYE,AudioEye Inc. Common Stock,48911877,United States,4699,Technology,EDP Services
AEZS,Aeterna Zentaris Inc. Common Stock,15927273,Canada,20567,Health Care,Pharmaceuticals and Biotechnology
AFAQ,AF Acquisition Corp. Class A Common Stock,281680000,United States,833,Industrials,Consumer Electronics/Appliances
AFAQU,AF Acquisition Corp. Units,0,United States,5,Industrials,Consumer Electronics/Appliances
AFAQW,AF Acquisition Corp. Warrants,0,United States,320,Industrials,Consumer Electronics/Appliances
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,147725550,Singapore,23974,Finance,Business Services
AFB,AllianceBernstein National Municipal Income Fund Inc,304121423,United States,205705,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),96726476,United States,3208,Finance,Major Banks
AFCG,AFC Gamma Inc. Common Stock,344966160,United States,501351,Real Estate,Real Estate Investment Trusts
AFG,American Financial Group Inc. Common Stock,11263634012,United States,675243,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,0,United States,14561,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,21997242,United States,43321,Finance,Real Estate
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,0,United States,9313,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,0,United States,3280,,
AFIB,Acutus Medical Inc. Common Stock,26039496,United States,218298,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFL,AFLAC Incorporated Common Stock,42915846411,United States,7069069,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,167260055,Germany,3604238,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,321925464,Gibraltar,321,Consumer Staples,Farming/Seeds/Milling
AFRIW,Forafric Global PLC Warrants,0,Gibraltar,52127,Consumer Staples,Farming/Seeds/Milling
AFRM,Affirm Holdings Inc. Class A Common Stock,2936318638,United States,19011552,Technology,EDP Services
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,192177916,,95706,Finance,Investment Managers
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,312187500,,13888,Finance,Business Services
AFYA,Afya Limited Class A Common Shares,1284293877,Brazil,367154,Real Estate,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),2274998833,Canada,7071621,,
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,518793750,,29378,Finance,Business Services
AGAE,Allied Gaming & Entertainment Inc. Common Stock,39085470,United States,43993,Telecommunications,Cable & Other Pay Television Services
AGBA,AGBA Group Holding Limited Ordinary Share,138792250,Hong Kong,25781,Finance,Investment Managers
AGBAW,AGBA Group Holding Limited Warrant,0,Hong Kong,2817,Finance,Investment Managers
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,578661500,,109430,Finance,Business Services
AGCO,AGCO Corporation Common Stock,9701479914,United States,2268233,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,118719046,United States,43643,Finance,Trusts Except Educational Religious and Charitable
AGE,AgeX Therapeutics Inc. Common Stock,22468509,,20786,Health Care,Biotechnology: Pharmaceutical Preparations
AGEN,Agenus Inc. Common Stock,728499927,United States,8152362,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,AgroFresh Solutions Inc. Common Stock,155973915,United States,176787,,
AGFY,Agrify Corporation Common Stock,2182697,United States,6795594,Consumer Discretionary,Military/Government/Technical
AGGR,Agile Growth Corp. Class A Ordinary Share,389825000,United States,3,Finance,Business Services
AGGRU,Agile Growth Corp. Units,0,United States,6800,Finance,Business Services
AGGRW,Agile Growth Corp. Warrant.,0,United States,50000,Finance,Business Services
AGI,Alamos Gold Inc. Class A Common Shares,3784477283,Canada,4843702,,
AGIL,AgileThought Inc. Class A Common Stock,189114057,United States,15640,Technology,EDP Services
AGILW,AgileThought Inc. Warrant,0,United States,60,Technology,EDP Services
